2372500	0.949	0.9063	0.8584
2375000	0.9419	0.8962	0.8494
2377500	0.9419	0.9016	0.8567
2380000	0.9374	0.8936	0.8482
2382500	0.9381	0.8955	0.8478
2385000	0.9357	0.8901	0.8433
2387500	0.9329	0.8848	0.8346
2390000	0.9301	0.8839	0.8333
2392500	0.9243	0.8744	0.825
2395000	0.926	0.8763	0.8229
2397500	0.925	0.8688	0.8132
2400000	0.9201	0.8703	0.8146
2402500	0.9191	0.8678	0.8113
2405000	0.9163	0.8573	0.7953
2407500	0.9125	0.8549	0.7954
2410000	0.9051	0.8453	0.7856
2412500	0.9	0.8436	0.7816
2415000	0.9005	0.84	0.78
2417500	0.8892	0.8257	0.7642
2420000	0.8916	0.829	0.7679
2422500	0.8807	0.8148	0.7514
2425000	0.8836	0.8203	0.7555
2427500	0.8756	0.8078	0.7445
2430000	0.8694	0.8016	0.7376
2432500	0.8638	0.7894	0.7221
2435000	0.8562	0.7829	0.7105
2437500	0.8488	0.7747	0.7083
2440000	0.8483	0.7748	0.7016
2442500	0.8426	0.7662	0.6907
2445000	0.8267	0.7493	0.6721
2447500	0.8175	0.7378	0.663
2450000	0.8123	0.7327	0.6558
2452500	0.8034	0.722	0.6461
2455000	0.7895	0.7031	0.6291
2457500	0.777	0.6871	0.6092
2460000	0.7648	0.6726	0.5954
2462500	0.7486	0.6525	0.5725
2465000	0.7324	0.6414	0.5632
2467500	0.731	0.6353	0.5558
2470000	0.7108	0.6102	0.5278
2472500	0.6952	0.5967	0.5146
2475000	0.6691	0.5667	0.4926
2477500	0.6508	0.5555	0.474
2480000	0.6251	0.5287	0.4459
2482500	0.5939	0.4987	0.416
2485000	0.5639	0.4655	0.3913
2487500	0.535	0.4308	0.362
2490000	0.4826	0.3913	0.3253
2492500	0.4308	0.3451	0.2816
2495000	0.3674	0.2837	0.2266
2497500	0.2805	0.2138	0.172
